res	var	time	id	start	end	path
monthly	more_precip	historical	04766	19510101	19701230	/monthly/more_precip/historical/monatswerte_RR_04766_19510101_19701230_hist.zip
monthly	more_precip	historical	04767	19510101	20051231	/monthly/more_precip/historical/monatswerte_RR_04767_19510101_20051231_hist.zip
monthly	more_precip	historical	04768	19470301	20061231	/monthly/more_precip/historical/monatswerte_RR_04768_19470301_20061231_hist.zip
monthly	more_precip	historical	04769	19010101	20031231	/monthly/more_precip/historical/monatswerte_RR_04769_19010101_20031231_hist.zip
monthly	more_precip	historical	04770	19370101	20151231	/monthly/more_precip/historical/monatswerte_RR_04770_19370101_20151231_hist.zip
monthly	more_precip	historical	04771	18910101	19991231	/monthly/more_precip/historical/monatswerte_RR_04771_18910101_19991231_hist.zip
monthly	more_precip	historical	04772	19250101	20041231	/monthly/more_precip/historical/monatswerte_RR_04772_19250101_20041231_hist.zip
monthly	more_precip	historical	04773	19380101	20031231	/monthly/more_precip/historical/monatswerte_RR_04773_19380101_20031231_hist.zip
monthly	more_precip	historical	04774	19330901	20021231	/monthly/more_precip/historical/monatswerte_RR_04774_19330901_20021231_hist.zip
monthly	more_precip	historical	04775	19510101	19651230	/monthly/more_precip/historical/monatswerte_RR_04775_19510101_19651230_hist.zip
monthly	more_precip	historical	04776	18790101	20060831	/monthly/more_precip/historical/monatswerte_RR_04776_18790101_20060831_hist.zip
monthly	more_precip	historical	04777	19940101	20151231	/monthly/more_precip/historical/monatswerte_RR_04777_19940101_20151231_hist.zip
monthly	more_precip	historical	04778	18990101	19931231	/monthly/more_precip/historical/monatswerte_RR_04778_18990101_19931231_hist.zip
monthly	more_precip	historical	04779	19891101	20041231	/monthly/more_precip/historical/monatswerte_RR_04779_19891101_20041231_hist.zip
monthly	more_precip	historical	04780	19090101	19891031	/monthly/more_precip/historical/monatswerte_RR_04780_19090101_19891031_hist.zip
monthly	more_precip	historical	04781	19650101	20061231	/monthly/more_precip/historical/monatswerte_RR_04781_19650101_20061231_hist.zip
monthly	more_precip	historical	04782	19650401	19911231	/monthly/more_precip/historical/monatswerte_RR_04782_19650401_19911231_hist.zip
monthly	more_precip	historical	04783	19480101	19841231	/monthly/more_precip/historical/monatswerte_RR_04783_19480101_19841231_hist.zip
monthly	more_precip	historical	04784	19280501	20011231	/monthly/more_precip/historical/monatswerte_RR_04784_19280501_20011231_hist.zip
monthly	more_precip	historical	04785	19370101	20030731	/monthly/more_precip/historical/monatswerte_RR_04785_19370101_20030731_hist.zip
